game_pk,policy,reward,challenges,successes
746099,Terminal-Count,-0.02,2,0
746100,Terminal-Count,-0.02,2,0
746101,Terminal-Count,-0.02,2,0
746117,Terminal-Count,0.06099999999999991,3,1
746126,Terminal-Count,-0.02,2,0
746185,Terminal-Count,0.06099999999999991,3,1
746188,Terminal-Count,-0.02,2,0
746189,Terminal-Count,0.1419999999999998,4,2
746190,Terminal-Count,0.1529999999999999,4,2
746192,Terminal-Count,0.1419999999999998,4,2
746197,Terminal-Count,-0.02,2,0
746201,Terminal-Count,0.06099999999999991,3,1
746212,Terminal-Count,-0.02,2,0
746224,Terminal-Count,-0.02,2,0
746256,Terminal-Count,0.23699999999999988,5,3
746259,Terminal-Count,-0.02,2,0
746260,Terminal-Count,-0.02,2,0
746267,Terminal-Count,-0.02,2,0
746269,Terminal-Count,-0.02,2,0
746270,Terminal-Count,-0.02,2,0
746272,Terminal-Count,0.060000000000000005,3,1
746292,Terminal-Count,0.06099999999999991,3,1
746293,Terminal-Count,0.06099999999999991,3,1
746295,Terminal-Count,0.060000000000000005,3,1
746300,Terminal-Count,-0.02,2,0
746305,Terminal-Count,-0.02,2,0
746352,Terminal-Count,-0.02,2,0
746355,Terminal-Count,-0.02,2,0
746357,Terminal-Count,0.07200000000000001,3,1
746360,Terminal-Count,-0.02,2,0
746364,Terminal-Count,0.060000000000000005,3,1
746367,Terminal-Count,-0.02,2,0
746382,Terminal-Count,-0.02,2,0
746384,Terminal-Count,0.2759999999999998,5,3
746423,Terminal-Count,-0.02,2,0
746427,Terminal-Count,-0.02,2,0
746430,Terminal-Count,0.06099999999999991,3,1
746434,Terminal-Count,-0.02,2,0
746440,Terminal-Count,0.1529999999999999,4,2
746443,Terminal-Count,0.253,3,1
746452,Terminal-Count,0.3029999999999997,6,4
746459,Terminal-Count,-0.02,2,0
746461,Terminal-Count,0.06099999999999991,3,1
746466,Terminal-Count,0.1529999999999999,4,2
746504,Terminal-Count,0.07200000000000001,3,1
746512,Terminal-Count,0.173,3,1
746514,Terminal-Count,0.22099999999999992,5,3
746516,Terminal-Count,0.06099999999999991,3,1
746529,Terminal-Count,-0.02,2,0
746531,Terminal-Count,0.253,3,1
746584,Terminal-Count,-0.02,2,0
746601,Terminal-Count,-0.02,2,0
746602,Terminal-Count,0.06099999999999991,3,1
746605,Terminal-Count,-0.02,2,0
746612,Terminal-Count,-0.02,2,0
746620,Terminal-Count,0.06099999999999991,3,1
746659,Terminal-Count,0.06099999999999991,3,1
746662,Terminal-Count,-0.02,2,0
746663,Terminal-Count,-0.02,2,0
746678,Terminal-Count,0.2919999999999998,5,3
746679,Terminal-Count,-0.02,2,0
746687,Terminal-Count,0.06099999999999991,3,1
746703,Terminal-Count,0.06099999999999991,3,1
746707,Terminal-Count,0.2269999999999997,5,3
746746,Terminal-Count,-0.02,2,0
746752,Terminal-Count,-0.02,2,0
746754,Terminal-Count,0.1049999999999998,4,2
746756,Terminal-Count,-0.02,2,0
746761,Terminal-Count,-0.02,2,0
746767,Terminal-Count,-0.02,2,0
746769,Terminal-Count,-0.02,2,0
746771,Terminal-Count,0.06099999999999991,3,1
746772,Terminal-Count,0.060000000000000005,3,1
746840,Terminal-Count,0.06099999999999991,3,1
746846,Terminal-Count,-0.02,2,0
746850,Terminal-Count,0.3239999999999999,4,2
746853,Terminal-Count,-0.02,2,0
746865,Terminal-Count,-0.02,2,0
746870,Terminal-Count,-0.02,2,0
746872,Terminal-Count,0.1409999999999999,4,2
746908,Terminal-Count,-0.02,2,0
746924,Terminal-Count,-0.02,2,0
746993,Terminal-Count,-0.02,2,0
746997,Terminal-Count,-0.02,2,0
747014,Terminal-Count,0.2209999999999999,5,3
747024,Terminal-Count,-0.02,2,0
747029,Terminal-Count,0.9689999999999999,6,4
747067,Terminal-Count,0.07200000000000001,3,1
747072,Terminal-Count,-0.02,2,0
747077,Terminal-Count,-0.02,2,0
747081,Terminal-Count,0.06099999999999991,3,1
747083,Terminal-Count,-0.02,2,0
747092,Terminal-Count,-0.02,2,0
747101,Terminal-Count,-0.02,2,0
747111,Terminal-Count,0.1419999999999998,4,2
747145,Terminal-Count,-0.02,2,0
747151,Terminal-Count,0.0649999999999999,3,1
747160,Terminal-Count,0.06099999999999991,3,1
747161,Terminal-Count,0.1529999999999999,4,2
747163,Terminal-Count,-0.02,2,0
747167,Terminal-Count,-0.02,2,0
747170,Terminal-Count,-0.02,2,0
747176,Terminal-Count,0.06099999999999991,3,1
747179,Terminal-Count,-0.02,2,0
747180,Terminal-Count,-0.02,2,0
747191,Terminal-Count,-0.02,2,0
747192,Terminal-Count,-0.02,2,0
744798,Greedy,0.07200000000000001,3,1
744801,Greedy,0.060000000000000005,3,1
744802,Greedy,0.060000000000000005,3,1
744803,Greedy,-0.02,2,0
744810,Greedy,-0.02,2,0
744823,Greedy,-0.02,2,0
744827,Greedy,-0.02,2,0
744838,Greedy,-0.02,2,0
744883,Greedy,0.06099999999999991,3,1
744890,Greedy,-0.02,2,0
744892,Greedy,-0.02,2,0
744896,Greedy,0.06099999999999991,3,1
744897,Greedy,-0.02,2,0
744903,Greedy,0.06099999999999991,3,1
744909,Greedy,0.06099999999999991,3,1
744961,Greedy,-0.02,2,0
744964,Greedy,0.060000000000000005,3,1
744970,Greedy,0.07200000000000001,3,1
744973,Greedy,-0.02,2,0
744976,Greedy,-0.02,2,0
744996,Greedy,-0.02,2,0
745000,Greedy,0.1419999999999998,4,2
745007,Greedy,0.0639999999999999,3,1
745009,Greedy,-0.02,2,0
745044,Greedy,-0.02,2,0
745051,Greedy,0.16399999999999998,4,2
745052,Greedy,-0.02,2,0
745069,Greedy,-0.02,2,0
745073,Greedy,0.1809999999999999,5,3
745075,Greedy,-0.02,2,0
745078,Greedy,-0.02,2,0
745118,Greedy,-0.02,2,0
745126,Greedy,-0.02,2,0
745135,Greedy,0.1529999999999999,4,2
745139,Greedy,-0.02,2,0
745140,Greedy,-0.02,2,0
745147,Greedy,0.3339999999999999,4,2
745153,Greedy,0.06099999999999991,3,1
745184,Greedy,-0.02,2,0
745211,Greedy,-0.02,2,0
745212,Greedy,-0.02,2,0
745229,Greedy,0.060000000000000005,3,1
745237,Greedy,-0.02,2,0
745248,Greedy,-0.02,2,0
745252,Greedy,0.06099999999999991,3,1
745287,Greedy,-0.02,2,0
745290,Greedy,0.07200000000000001,3,1
745309,Greedy,0.06099999999999991,3,1
745311,Greedy,-0.02,2,0
745326,Greedy,-0.02,2,0
745328,Greedy,-0.02,2,0
745366,Greedy,0.6479999999999998,5,3
745384,Greedy,0.46599999999999997,4,2
745385,Greedy,0.06099999999999991,3,1
745388,Greedy,0.06099999999999991,3,1
745391,Greedy,0.07200000000000001,3,1
745392,Greedy,-0.02,2,0
745394,Greedy,0.07200000000000001,3,1
745395,Greedy,-0.02,2,0
745401,Greedy,0.0649999999999999,3,1
