epoch,avg_reward,avg_challenges,success_rate,exploration_rate
0,0.033719999999999965,2.61,23.371647509578544,0.5
1,0.06388999999999997,2.67,25.0936329588015,0.485
2,0.03285999999999997,2.62,23.66412213740458,0.47045
3,0.06902999999999997,2.69,25.650557620817843,0.4563365
4,0.058259999999999985,2.66,24.81203007518797,0.44264640499999997
5,0.04697999999999996,2.6,23.076923076923077,0.42936701284999995
6,0.04626999999999999,2.52,20.634920634920633,0.41648600246449996
7,0.05099999999999999,2.51,20.318725099601593,0.40399142239056496
8,0.059729999999999964,2.68,25.37313432835821,0.391871679718848
9,0.08356999999999999,2.69,25.650557620817843,0.38011552932728254
10,0.03483999999999996,2.44,18.0327868852459,0.36871206344746404
11,0.05365999999999996,2.71,26.199261992619927,0.3576507015440401
12,0.04602999999999998,2.47,19.02834008097166,0.3469211804977189
13,0.052129999999999975,2.53,20.948616600790515,0.33651354508278736
14,0.07855999999999998,2.68,25.37313432835821,0.32641813873030373
15,0.040219999999999964,2.59,22.779922779922778,0.3166255945683946
16,0.07448999999999999,2.6,23.076923076923077,0.3071268267313428
17,0.09529999999999998,2.73,26.73992673992674,0.2979130219294025
18,0.054709999999999974,2.66,24.81203007518797,0.28897563127152043
19,0.09471999999999997,2.76,27.898550724637683,0.2803063623333748
20,0.07180999999999998,2.62,23.66412213740458,0.27189717146337355
21,0.057709999999999984,2.59,22.779922779922778,0.26374025631947234
22,0.10287999999999997,2.75,27.27272727272727,0.25582804862988817
23,0.06629999999999996,2.72,27.205882352941174,0.2481532071709915
24,0.08767999999999995,2.83,29.328621908127207,0.24070861095586177
25,0.08034999999999996,2.68,25.37313432835821,0.2334873526271859
26,0.09648999999999995,2.76,27.536231884057973,0.2264827320483703
27,0.08293999999999996,2.74,27.00729927007299,0.2196882500869192
28,0.07406999999999996,2.72,26.838235294117645,0.21309760258431162
29,0.09196999999999997,2.78,28.41726618705036,0.20670467450678226
30,0.08590999999999997,2.8,28.57142857142857,0.2005035342715788
31,0.07625999999999998,2.65,24.528301886792452,0.19448842824343143
32,0.07415999999999996,2.69,25.650557620817843,0.1886537753961285
33,0.08380999999999998,2.69,26.022304832713754,0.18299416213424463
34,0.08122999999999997,2.79,28.31541218637993,0.17750433727021728
35,0.07831999999999997,2.79,28.31541218637993,0.17217920715211074
36,0.09235999999999996,2.72,26.47058823529412,0.1670138309375474
37,0.09544999999999997,2.73,27.472527472527474,0.16200341600942098
38,0.09767999999999995,2.93,31.74061433447099,0.15714331352913835
39,0.05667999999999997,2.58,22.48062015503876,0.1524290141232642
40,0.06236999999999998,2.63,23.954372623574145,0.1478561436995663
41,0.07003999999999999,2.7,25.925925925925924,0.1434204593885793
42,0.05853999999999998,2.58,23.25581395348837,0.13911784560692192
43,0.06077999999999999,2.55,22.745098039215687,0.13494431023871425
44,0.07481999999999998,2.64,24.242424242424242,0.13089598093155283
45,0.06219999999999997,2.6,23.076923076923077,0.12696910150360624
46,0.08879999999999995,2.84,29.577464788732392,0.12316002845849805
47,0.06174999999999998,2.62,24.045801526717558,0.11946522760474311
48,0.11243999999999998,2.82,29.078014184397162,0.11588127077660082
49,0.10177999999999997,2.83,30.03533568904594,0.1124048326533028
50,0.10196999999999998,2.82,29.078014184397162,0.10903268767370371
51,0.09927999999999995,2.83,29.328621908127207,0.1057617070434926
52,0.10749999999999997,2.74,27.73722627737226,0.10258885583218781
53,0.07930999999999996,2.67,25.0936329588015,0.09951119015722218
54,0.08720999999999998,2.64,25.0,0.09652585445250551
55,0.08411999999999997,2.68,26.119402985074625,0.09363007881893035
56,0.10050999999999995,2.77,27.79783393501805,0.09082117645436243
57,0.10792999999999997,2.87,31.3588850174216,0.08809654116073155
58,0.07693999999999997,2.69,26.022304832713754,0.08545364492590961
59,0.08296999999999999,2.72,27.205882352941174,0.08289003557813232
60,0.10430999999999994,2.82,29.78723404255319,0.08040333451078835
61,0.07038999999999997,2.73,26.73992673992674,0.0779912344754647
62,0.12900999999999996,2.83,30.03533568904594,0.07565149744120075
63,0.09923999999999998,2.79,28.31541218637993,0.07338195251796473
64,0.07622999999999998,2.61,23.371647509578544,0.07118049394242579
65,0.08446999999999999,2.71,27.30627306273063,0.06904507912415302
66,0.10254999999999999,2.78,28.776978417266186,0.06697372675042843
67,0.09172999999999998,2.69,25.650557620817843,0.06496451494791557
68,0.11006999999999997,2.79,29.03225806451613,0.0630155794994781
69,0.09643999999999998,2.75,28.000000000000004,0.06112511211449376
70,0.07500999999999997,2.73,27.472527472527474,0.05929135875105894
71,0.11838999999999995,2.83,29.681978798586574,0.05751261798852717
72,0.09207999999999997,2.64,24.62121212121212,0.05578723944887135
73,0.08536999999999997,2.71,26.937269372693727,0.05411362226540521
74,0.12276999999999999,2.77,28.158844765342963,0.052490213597443054
75,0.10133999999999997,2.89,31.141868512110726,0.05091550718951976
76,0.10200999999999998,2.79,28.31541218637993,0.04938804197383417
77,0.11419999999999997,2.7,27.77777777777778,0.04790640071461914
78,0.10665999999999999,2.78,28.05755395683453,0.046469208693180566
79,0.11836999999999998,2.78,28.05755395683453,0.045075132432385145
80,0.11466999999999995,2.82,29.432624113475175,0.04372287845941359
81,0.10150999999999996,2.82,29.78723404255319,0.042411192105631185
82,0.13906999999999994,2.93,32.081911262798634,0.04113885634246225
83,0.07931999999999997,2.71,26.199261992619927,0.03990469065218838
84,0.10667999999999997,2.85,29.82456140350877,0.03870754993262273
85,0.08043999999999998,2.64,25.0,0.03754632343464405
86,0.12418999999999998,2.78,28.05755395683453,0.03641993373160473
87,0.08656999999999998,2.71,26.56826568265683,0.035327335719656586
88,0.11209999999999998,2.84,29.577464788732392,0.03426751564806689
89,0.13414999999999996,2.83,29.681978798586574,0.03323949017862488
90,0.09647999999999995,2.81,28.825622775800714,0.032242305473266133
91,0.06983999999999999,2.72,26.47058823529412,0.031275036309068145
92,0.11788999999999998,2.85,29.82456140350877,0.0303367852197961
93,0.08110999999999999,2.64,24.242424242424242,0.029426681663202215
94,0.05714999999999998,2.56,22.265625,0.028543881213306147
95,0.10904999999999998,2.81,29.8932384341637,0.027687564776906964
96,0.10201999999999996,2.85,30.175438596491226,0.026856937833599753
97,0.09998999999999998,2.65,26.037735849056602,0.02605122969859176
98,0.11523999999999994,3.01,33.88704318936877,0.025269692807634005
99,0.09580999999999996,2.67,26.217228464419474,0.024511602023404983
